file_path,class_label,expected_text,transcription,wer,cer,word_count,char_count
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_computer_livingroom_LAO.wav,25,a nagyszobába kapcsold ki a számítógépet,a nagy gyobában ki a számítógépet,0.3333333333333333,0.3,6,35
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_computer_livingroom_OAL.wav,25,a számítógépet kapcsold ki a nagycobában,a számítógépbe kapcsold ki a nagy van,0.5,0.175,6,35
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_computer_room_ALO.wav,25,kapcsold ki a szobában a számítógépet,kapcsold ki atom ában a számítógépet,0.3333333333333333,0.13513513513513514,6,32
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_computer_room_LAO.wav,25,a szobában kapcsold ki a számítógépet,a nyomában tont ki a számítógép ben,0.6666666666666666,0.35135135135135137,6,32
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_computer_smallroom_AOL.wav,25,kapcsold ki a számítógépet a kisszobában,kapott ki a számítógépen a kis szobában,0.6666666666666666,0.15,6,35
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_computer_smallroom_LAO.wav,25,a kisszobában kapcsold ki a számítógépet,a kismamá a kapcsolat ki a számító évben,0.8333333333333334,0.3,6,35
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_curtain_bathroom_AOL.wav,25,húzzuk szét a függönyt a fürdőszobában,honuípüménünevez uman,1.0,0.7894736842105263,6,33
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_curtain_bathroom_LAO.wav,25,a fürdőszobában huzzunk szét a függöny,a főörtomámúzunk én én,0.8333333333333334,0.6578947368421053,6,33
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_curtain_corridor_AOL.wav,25,huzzunk szét a függöny a folyosón,mozogzénün a folyóson,0.8333333333333334,0.5757575757575758,6,28
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_curtain_corridor_LAO.wav,25,a folyosón huzzunk szén a függön,a folyosón holdogszénen,0.6666666666666666,0.46875,6,27
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_curtain_kitchen_AOL.wav,25,széthüzzuk a függönyt a konyhában,én húzunk a külön ahonyában,1.0,0.45454545454545453,5,29
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_curtain_kitchen_LAO.wav,25,a konyhában széthunzuk a függöny,a konyhában szét multunk a,0.6,0.40625,5,28
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_curtain_livingroom_AOL.wav,25,huzzunk szén a függön a nagyszobában,voltunk a hm a nagyom,0.6666666666666666,0.6111111111111112,6,31
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_curtain_livingroom_LAO.wav,25,a nagyszobában huzzunk szén a függöny,a nagy gyomán a mozeomménüm,0.6666666666666666,0.6756756756756757,6,32
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_curtain_room_AOL.wav,25,huzzuk szét a függönyt a szobában,huluédayúgön az van,1.0,0.6060606060606061,6,28
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_curtain_room_LAO.wav,25,a szobában huzzunk szén a függöny,aszomolugzénlfügöny,1.0,0.5757575757575758,6,28
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_curtain_smallroom_AOL.wav,25,huzzunk szén a függöny a kisszobában,holdunk zénümöntolmáman,1.0,0.6111111111111112,6,31
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_curtain_smallroom_LAO.wav,25,a kisszobában huzzunk szét a függöny,a szobám mumgiőn,0.8333333333333334,0.6944444444444444,6,31
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_door_bathroom_AOL.wav,25,nyissuk ki az ajtót a fürdőszobában,ugi az agyon a hülnezomhá,0.6666666666666666,0.6285714285714286,6,30
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_door_bathroom_LAO.wav,25,a fürdőszobában nyissuk ki az ajtón,a güözdomámsu az adó,0.6666666666666666,0.6285714285714286,6,30
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_door_corridor_AOL.wav,25,nyissuk az ajtót a folyosón,nincs cuki az agyon a borsó,0.8,0.5555555555555556,5,23
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_door_corridor_LAO.wav,25,a folyosón nyissuk ki az ajtó,a folyosón nyissunk ki a adón,0.5,0.1724137931034483,6,24
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_door_kitchen_AOL.wav,25,nyissuk ki az ajtót a konyhában,és cuki az ajtót a konyhában,0.3333333333333333,0.22580645161290322,6,26
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_door_kitchen_LAO.wav,25,a konyhában nyissuk ki az ajtót,a konyhában és uki az agyon,0.5,0.3225806451612903,6,26
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_door_livingroom_AOL.wav,25,nyissuk ki az ajtót a nagyszobában,nyissuk ki az ajtót a nagy nyomában,0.3333333333333333,0.11764705882352941,6,29
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_door_livingroom_LAO.wav,25,a nagyszobában nyissuk az ajtón,a nagy szobámat nyassúki az ajtó,0.8,0.22580645161290322,5,27
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_door_room_AOL.wav,25,nyissuk ki az ajtót a szobában,suki az aton,0.8333333333333334,0.6,6,25
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_door_room_LAO.wav,25,a szobában nyissuk ki az ajtón,a szommatssuki az ajtó,0.6666666666666666,0.36666666666666664,6,25
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_door_smallroom_AOL.wav,25,nyissuk ki az ajtón a kisszobában,nyitunk ki az ajtón a kis rom van,0.6666666666666666,0.24242424242424243,6,28
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_door_smallroom_LOA.wav,25,a kisszobában az ajtót nyissuk ki,a kész az a uki,0.6666666666666666,0.5757575757575758,6,28
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_fan_corridor_AOL.wav,25,kapcsold ki a vendilátort a folyosón,gadó ki a menélátjónt a folyósón,0.5,0.3888888888888889,6,31
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_fan_corridor_LAO.wav,25,a folyosón kapcsold ki a ventillátor,a folyosón kapcsol ki a menténádon,0.3333333333333333,0.19444444444444445,6,31
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_fan_corridor_OAL.wav,25,a ventillárort kapcsold ki a folyosón,a mentnélátngaddodni a ol,0.6666666666666666,0.5405405405405406,6,32
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_fan_livingroom_AOL.wav,25,kapcsold ki a ventillátor a nagyszobában,a ki a vendinátjn a nagy szobában,0.6666666666666666,0.325,6,35
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_fan_livingroom_LAO.wav,25,a nagyszobában kapcsold ki a ventilláton,a nagymamám a nap ki ami ent,0.8333333333333334,0.575,6,35
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_fan_room_AOL.wav,25,kapcsold ki a ventillátort a szobában,kapott ki a ventináonszmában,0.6666666666666666,0.3783783783783784,6,32
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_fan_room_LAO.wav,25,a szobában kapcsold ki a ventilláton,száman kapcsold ki a mentinádon,0.5,0.25,6,31
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_fan_room_OAL.wav,25,a ventilláton kapcsold ki a szobában,a menti ki a szalmában,0.5,0.5277777777777778,6,31
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_fan_smallroom_AOL.wav,25,kapcsold ki a ventilláton a kisszobában,katruiendéládón a két száman,0.8333333333333334,0.5897435897435898,6,34
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_fan_smallroom_LAO.wav,25,a kisszobában kapcsold ki a ventillátor,a kis szobám nem kapcsold ki a mentéládon,0.6666666666666666,0.2564102564102564,6,34
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_fan_smallroom_LOA.wav,25,a kisszobában a ventilláton kapcsold ki,a komám a vendéátóngaluyon ki,0.5,0.5128205128205128,6,34
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_heating_bathroom_AOL.wav,25,kapcsold ki a fűtést a nagy fürdőszobában,gatt ki a vidénzloőszob,0.7142857142857143,0.6585365853658537,7,35
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_heating_bathroom_LAO.wav,25,a fürdőszobában kapcsold ki a fűtész,a fünrazmaámat ki a üdén,0.5,0.6111111111111112,6,31
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_heating_corridor_AOL.wav,25,kapcsold ki a fűtést a folyosón,kapó ki a viüdéz a vélzonn,0.5,0.5161290322580645,6,26
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_heating_corridor_LAO.wav,25,a folyosón kapcsold ki a fűtés,a folyosón kapcsold ki a dé,0.16666666666666666,0.13333333333333333,6,25
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_heating_kitchen_AOL.wav,25,kapcsold ki a fűtés a konyhában,kapcsold ki a kén a konyhában,0.16666666666666666,0.12903225806451613,6,26
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_heating_kitchen_LAO.wav,25,a konyhában kapcsold ki a fűtést,a konyhában nem kapcsol ki a vitéz,0.5,0.28125,6,27
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_heating_livingroom_AOL.wav,25,kapcsold ki a fűtést a nagyszobában,kapcsold ki a füdészt a locsomában,0.3333333333333333,0.2571428571428571,6,30
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_026_0001_heating_livingroom_LAO.wav,25,a nagycobában kapcsold ki a fűtést,a nagy nyomában nem kapcsold ki a vid,0.6666666666666666,0.4117647058823529,6,29
