file_path,class_label,expected_text,transcription,wer,cer,word_count,char_count
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_computer_kitchen_AOL.wav,28,kapcsold ki a számítógépet a konyhában ,tartolt ki a számítógépek akojból,0.6666666666666666,0.34210526315789475,6,33
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_computer_kitchen_LAO.wav,28,a konyhában kapcsold ki a számítgépet ,a konyhában tracsódija számítgépet,0.5,0.21621621621621623,6,32
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_computer_livingroom_AOL.wav,28,kapcsold ki a számtígépet a nagyszobában ,kapcsold ki a számdíjgépet a nagyszobában,0.16666666666666666,0.05,6,35
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_computer_livingroom_LAO.wav,28,a nagycobában kapcsold ki a számítógépet,a nagyszobába kapcsold ki a számüipet,0.3333333333333333,0.2,6,35
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_computer_room_AOL.wav,28,kapcsold ki a számítgépet a szobában ,kapcsold ki a számítógépet a szobába,0.3333333333333333,0.05555555555555555,6,31
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_computer_room_LAXO.wav,28,a szobában kapcsold ki a számítgép számítógépet ,a szobám kapcsol ki a szám számítógépet,0.42857142857142855,0.19148936170212766,7,41
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_computer_smallroom_AOL.wav,28,kapcsold ki a számítógépet a kisszobában ,tartott a számítógépet a szobában,0.5,0.3,6,35
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_computer_smallroom_LAO.wav,28,a kisszobában kapcsold ki a számítógépet ,a két szobában tartott ki a szálvetővépet,0.6666666666666666,0.35,6,35
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_curtain_kitchen_AOL.wav,28,húzd szét a függönt a konyhában ,sz cél függött a konyhában,0.6666666666666666,0.2903225806451613,6,26
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_curtain_kitchen_LAO.wav,28,a konyhában húzd szét a függönt ,a konyhában szét a függött,0.3333333333333333,0.1935483870967742,6,26
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_curtain_livingroom_AOL.wav,28,húzd szét a függönt a nagyszobában ,pulcéltafüggő vagy nagyszobába,1.0,0.5,6,29
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_curtain_livingroom_LAO.wav,28,a nagyszobában húzd szét a függönt ,a nagyszobában volt a függönyt,0.5,0.2647058823529412,6,29
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_curtain_room_AOL.wav,28,húzd szét a függönt a szobában ,húsz tétaafüggőnkálszobában,1.0,0.36666666666666664,6,25
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_curtain_room_LAO.wav,28,a szobában húzd szét a függönt ,a szobában húsz szél a függő,0.5,0.2,6,25
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_curtain_smallroom_AOL.wav,28,húzd szét a függönt a kisszobában ,húsz cél függött a kisszobában,0.6666666666666666,0.24242424242424243,6,28
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_curtain_smallroom_LAO.wav,28,a kisszobában húzd szét a függönt ,a kisszobába volt a fűtő,0.6666666666666666,0.45454545454545453,6,28
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_dishwasher_kitchen_LAO.wav,28,a konyhában állícs a mosogatógépet harminc fokra ,akkoriban áll a mosogató gépet harminc fokra,0.7142857142857143,0.1875,7,42
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_door_bathroom_AOL.wav,28,nyiss ki az ajtót a fürdőszobában ,mizizott a fő szobába,1.0,0.5151515151515151,6,28
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_door_bathroom_LAO.wav,28,a fürdőszobában nyiss ki az ajtót ,a fő szobába is kizáró,0.8333333333333334,0.45454545454545453,6,28
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_door_corridor_AOL.wav,28,nyiss ki az ajtót a folyosón ,nysgadátotáfolyosón,1.0,0.5,6,23
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_door_corridor_LAO.wav,28,a folyosón nyiss ki az ajtót ,a folyosón inspianzátót,0.6666666666666666,0.35714285714285715,6,23
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_door_kitchen_AOL.wav,28,nyiss ki az ajtót a konyhában ,nyű ki az ajtót a koba,0.3333333333333333,0.27586206896551724,6,24
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_door_kitchen_LAO.wav,28,a konyhában nyiss ki az ajtót ,konyhában és ki az adott,0.5,0.3103448275862069,6,24
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_door_livingroom_AOL.wav,28,nyissd ki az ajtót a nagyszobában ,nyüsátót a szobába,0.8333333333333334,0.5151515151515151,6,28
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_door_livingroom_LAO.wav,28,a nagyszobában nyiss ki az ajtót ,a nagyszobában mis ki az ót,0.3333333333333333,0.1875,6,27
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_door_room_AOL.wav,28,nyiss ki az ajtót a szobában ,s ki az a tót a szobába,0.6666666666666666,0.21428571428571427,6,23
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_door_room_LAO.wav,28,a szobában nyiss ki az ajtót ,a szobába viskezajtót,0.8333333333333334,0.32142857142857145,6,23
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_door_smallroom_AOL.wav,28,nyics ki az ajtót a kisszobában ,s ki azátótszoába,0.8333333333333334,0.4838709677419355,6,26
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_door_smallroom_LAO.wav,28,a kisszobában nyiss ki az ajtót ,a kisszobába is kát ott,0.8333333333333334,0.3548387096774194,6,26
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_fan_kitchen_AOL.wav,28,kapcsold ki a ventillátort a konyhában ,kapcsold ki a ventil látó akoba,0.5,0.2631578947368421,6,33
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_fan_kitchen_LAO.wav,28,a konyhában kapcsold ki a ventillátor ,a konyhából kapcsold ki a beettinától,0.3333333333333333,0.24324324324324326,6,32
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_fan_livingroom_AOL.wav,28,kapcsold ki a ventillátort a nagyszobában ,tartott ki a ventilátort a nagyszobában,0.3333333333333333,0.17073170731707318,6,36
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_fan_livingroom_LAO.wav,28,a nagyszobában kapcsold ki a ventillátort ,a nászoábanád ki a benti or,0.6666666666666666,0.43902439024390244,6,36
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_fan_room_LAO.wav,28,a szobában kapcsold ki a ventillátor ,a szobában kapcsold ki a benti látó,0.3333333333333333,0.1111111111111111,6,31
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_fan_room_OAL.wav,28,a ventillátort kapcsold ki a szobában ,a fenti nátortaolt ki a szobában,0.3333333333333333,0.24324324324324326,6,32
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_029_0001_fan_smallroom_AOL.wav,28,kapcsold ki a ventillátort a kisszobában ,kapcsold ki a ventil látót a kész szobába,0.6666666666666666,0.175,6,35
