file_path,class_label,expected_text,transcription,wer,cer,word_count,char_count
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_computer_livingroom_AOL.wav,32,kapcsold ki a számítógépet a nagyszobába ,e ineéöeee,1.0,0.9,6,35
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_computer_livingroom_AOL_d2.wav,32,kapcsold ki a számítógépet a nagyszobába ,geografu amidöwied öwee wörme,1.0,0.85,6,35
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_computer_livingroom_LAO.wav,32,a nagyszobában kapcsold ki a számítógépet ,mmon yornigi ozyar bin donge imene,1.0,0.8292682926829268,6,36
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_computer_room_LAO.wav,32,a szobában kapcsold ki a számítógépet ,mal mori1ti4eulinilan,1.0,0.8918918918918919,6,32
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_computer_smallroom_AOL.wav,32,kapcsold ki a számítógépet a kisszobába ,ök asmiytewévethe gsmman,1.0,0.7435897435897436,6,34
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_computer_smallroom_LAO.wav,32,a kisszobában kapcsold ki a számítógépet ,maama ojumi hagarigauuman,1.0,0.85,6,35
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_curtain_bathroom_AOL.wav,32,húzd szét a függönyt a fürdő szobában ,veikog taxiingaal saglabugow ne,1.0,0.8648648648648649,7,31
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_curtain_bathroom_LAO.wav,32,a fürdőszobában húzd szét a függönyt ,aneaa e amlee,1.0,0.8611111111111112,6,31
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_curtain_kitchen_AOL.wav,32,húzd szét a függönyt nyammiáb ,eagdan,1.0,0.896551724137931,5,25
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_curtain_kitchen_AOL_d2.wav,32,húzd szét a függönyt nyammiáb ,e,1.0,1.0,5,25
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_curtain_kitchen_LAO.wav,32,konyhába húzd szét a függöny ,n,1.0,0.9642857142857143,5,24
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_curtain_kitchen_LAO_d2.wav,32,konyhába húzd szét a függöny ,,1.0,1.0,5,24
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_curtain_livingroom_AOL.wav,32,húzd szét a függönyt nagy nagyszobában ,myetdawaa,1.0,0.8947368421052632,6,33
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_curtain_livingroom_LAO.wav,32,a nagyszobában húzd szét a függönyt ,,1.0,1.0,6,30
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_curtain_room_AOL.wav,32,húzd szét a függönyt a szobában ,,1.0,1.0,6,26
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_curtain_room_LAO.wav,32,a szobában húzd szét a függönyt ,ii,1.0,1.0,6,26
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_curtain_smallroom_AOL.wav,32,húzd szét függönyt a kiszobában ,tgbam,1.0,0.8709677419354839,5,27
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_curtain_smallroom_LAO.wav,32,a kisszobában húzd szét a függönyt ,mmege e e,1.0,0.9411764705882353,6,29
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_dishwasher_kitchen_AOL.wav,32,a konyhában kapcsold ki a mosogatógépet ,hhagebal gadogeimen,1.0,0.7692307692307693,6,34
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_door_bathroom_AOL.wav,32,nyisd ki az ajtót a fürdő szobában ,tele ovigton oa phen,1.0,0.8529411764705882,7,28
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_door_bathroom_LAO.wav,32,fürdőszobában nyisd ki az ajtót ,aaaimyi gum,1.0,0.8709677419354839,5,27
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_door_corridor_AOL.wav,32,nyisd ki az ajtót a folyosón ,galeen ee,1.0,0.9285714285714286,6,23
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_door_corridor_LAO.wav,32,a folyosón nyisd ki az ajtó ,een iyallajii,1.0,0.7777777777777778,6,22
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_door_kitchen_AOL.wav,32,nyisd ki az ajtót a konyhában ,em,1.0,1.0,6,24
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_door_kitchen_LAO.wav,32,a konyhában nyisd ki az ajtó ,nwn,1.0,0.9285714285714286,6,23
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_door_livingroom_AOL.wav,32,nyisd ki az ajtót a nagyszobában ,nyavam,1.0,0.875,6,27
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_door_livingroom_LAO.wav,32,a nagyszobában nyisd ki az ajtót ,avmainyifgewgön,1.0,0.84375,6,27
C:\Users\reaso\PycharmProjects\TestOriginalUrythmic\RnV-main\RnV-main\testmhub\wavs\C_033_0001_door_room_AOL.wav,32,nyisd ki az ajtót a szobában ,ade ovaemann,1.0,0.8214285714285714,6,23
